1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1.76,1.73,2.49,2.94,3.64,2.94,2.21,1.97,1.26,0.73,0.8,2.22,5.02,10.23,9.76,8.97,10.97,9.52,7.63,7.91,7.16,5.75,8.89,9.02
9.79,7.87,7.31,7.77,5.56,6.61,3.9,3.13,1.95,1.79,1.03,2.08,3.02,4.8,4.13,5.04,7.93,8.75,7.81,8.55,11.8,10.92,9.73,9.22
7.02,7.53,10.58,16.02,21.21,21.9,11.17,21.58,25.07,25.97,26.94,26.99,25.71,26.27,25.41,22.12,22.53,25.34,26.89,25.61,25.66,24.2,22.05,18.7
16.52,15.42,16.52,15.62,15.41,15.15,15.57,15.84,15.4,15.59,15.66,14.5,12.89,12.77,13.13,14.44,13.02,13.51,13.91,13.1,13.44,12.5,12.05,11.15
10.2,10.58,9.12,5.22,5.33,3.12,2.43,2.36,1.78,1.59,2.88,3.76,4.74,7.12,10.33,11.39,13.02,16.04,17.38,17.09,14.81,13.21,12.26,11.87
16.26,15.72,14.63,13.86,10.87,7.24,4.38,3.13,2.28,2.21,3,4.68,7.17,8.59,11.07,11.36,11.3,12.52,6.67,4.73,4.6,2.04,2.39,3.09
3.1,3.78,2.52,2.99,3.13,2.55,2.41,1.55,1.02,1.74,2.18,1.33,3.03,3.66,2.84,2.4,0.81,1.6,1.14,2.45,4.01,1.52,1.96,1.59
2.5,2.4,2.11,2.93,2.6,1.53,2.81,1.46,7.64,1.58,1.53,1.22,1.5,3.55,3.3,1.01,3.54,6.09,2.75,7.44,2.46,6.05,4.84,1.52
3.15,2.02,2.74,3.59,2.47,1.27,2.66,5.01,2.71,1.05,1.53,1.51,1.08,1.62,1.94,2.75,2.27,1.7,1.95,3.92,5.87,6.76,9.17,8.44
8.23,7.86,7.99,7.93,6.81,7.69,9.17,14.82,19.63,22.14,24.03,23.4,22.03,23.2,22.02,21.27,20.28,24.44,25.43,25.17,23.59,23.54,19.42,17.95
16.1,16.03,15.42,9.65,10.1,10.38,11.89,16.16,21.73,26.64,26.49,26.13,26.44,26.94,27.47,21.68,24.3,25.91,25.08,24.42,22.64,20.85,21.73,19.03
15.65,13.65,14.26,14.17,13.54,14.62,16,19.89,25.53,27.25,27.42,27.38,26.49,25.74,24.08,22.04,18.61,17.76,15.22,12.04,11.1,8.33,7.2,6.5
4.33,4.3,2.55,3.13,2.01,1.23,1.28,1.73,2.02,1.27,1.4,1.35,1.64,0.68,0.53,0.09,0,0.04,0.2,0.43,0.89,1.15,0.77,1.02
3.96,4.12,4,5.62,5.08,5.06,6.1,3.77,3.08,1.8,1.13,0.36,0.35,0.46,0.67,0.2,0.67,0.24,0.66,1.42,0.22,0.17,1.57,0.04
0.02,0.11,0.14,0.98,3.63,5.87,6.29,9.12,11.47,12.2,13.54,13.07,13.59,15.65,16.27,8.8,2.66,0.97,0.03,0.12,0.25,0.75,1.61,2.67
4.6,6.24,8.1,8.92,9.92,11.81,12.76,13.46,13.95,13.45,11.81,8.36,6.41,3.9,1.77,1.63,1.71,1.53,0.88,1.69,1.7,2.38,3.59,5.53
7.98,7.3,9.28,10.67,6.73,4.94,4.11,3.51,2.65,2.76,1.03,0.86,0.81,1.04,1.77,1.91,2.2,1.76,1.21,1.21,3.08,3.07,4.05,5.97
6.15,8.73,10.15,11.63,17,15.58,18.94,17.97,16.15,17.32,17.42,22.22,21.81,10.19,8.14,1.76,3.09,6.85,4.14,3.3,5,6.6,8.81,9.84
11.6,8.86,9.4,6.3,3.77,5.78,7.24,6.72,5.65,6.92,8.94,8.14,10.89,13.89,14.77,14.88,13.74,13.59,14.81,14.82,14.29,14.19,14.58,14.23
15.26,12.56,11.26,10.83,12.01,11.66,12.38,12.22,9.28,8.5,9.3,11.96,12.4,14.72,14.88,13.17,13.26,12.74,12.16,10.15,9.93,11.68,12.47,12.6
